name,whatsapp_number,phonecall_number
FAIHA SOUVENIRS & GIFTS,,0196502257
CUCI KARPET SEMPOI,,01132956380
E&Y HANDYMAN SERVICE,,0192293296
FLOOR DEPOT,,0123059728
CROWN CARPETS,0129301707,0129301707
FLOOR GALLERY MALAYSIA,0126917661,0126917661
INFINITY TILES SDN BHD,0123245638,0123245638
PSF INDUSTRIES SDN BHD,01121425352,01121425352
MOFAZ CLEANING SERVICES,01150028000,01150028000
AA CLEANING SERVICES,0193871398,0193871398
CUCIDOTCOM SDN BHD,0196539219,0196539219
PAINT PROS MALAYSIA,0124811591,0168078810
QUORUM INNOVATIONS,0193835699,0193835699
LITTLECHAMPS SERVICES,0195869107,01116644291
MAL TEL PROPERTIES SDN BHD,0122733900,0122733900
INSPIRATION FLOOR SDN BHD,0123217115,0123217115
JP CARPETS ENTERPRISE,0162502339,0162502339
DANAU TOPES,01128199080,01128199080
ZARA MALIK ENTERPRISE,0182831330,0182831330
FLOOR CULTURE HOLDINGS SDN BHD,0122860022,0122860022
NOR PROJECT ENTERPRISE,01136013597,01136013597
NORNADIA ENTERPRISE,01132149905,01165355053
CLEANING,0133069819,0133069819
FLYING CARPETS,0128181519,0128181519
UNIQUE FLOOR MARKETING PLT,0102281088,0102281088
TRIO FLOORING ENTERPRISE,,0133979626
TUKANG LANTAI PULAU PINANG,0125536616,0125536616
ARSHAD CARPETS,0105078600,0105078600
UNIQ CARPET CLEANING,,0193097102
KLEEN ASIA SERVICES,,0102721266
MATTRESS GUARD,,0162898449
KJN RECOVERY SERVICES,,01126648259
LNL EVENT CONTRACTOR,,0122125565
INSPIRATION SEWING,01114801320,01114801320
MAH MAH BERSATU,,0164422064
AUDIO ART DESIGN PRINTING,,0129182828
ARTISAN CARPETS MALAYSIA,,0361432282
ALPHA REMOVALS SDN BHD,,0362732507
FAIR TRADE BUILDER,0175913176,0175913176
CARPET CLEANING,,0167698969
DREAM ONE CLEANING SERVICES,01161616283,01161616283
GREEN LINE RENO,01139043465,01139043465
JM ENTERPRISE,0182032114,0182032114
DON PLASTER CEILING,0178710745,0178710745
ANY ONE,01163997600,01163997600
RENOVATION PLASTER CELLING,01123189822,01123189822
SRUNNA ENTERPRISE RENOVATION SERVICES,0148340717,0148340717
CUCI CUCI,0145234181,0145234181
DTS TRESDURAI ENTERPRISE,0149660023,0102843121
HNR WORLD TRADE,0167328075,0167328075
ANG’S REPAIR&RENOVATE,0189484504,0189484504
STARLIGHT DEVELOPMENT SDN,0146395610,0146395610
JTA CONSTRUCTION,0194859007,0194859007
RENTAI NINE LEGACY,0183694829,0183694829
MTA RENOVATION,01121741367,01121741367
ABJ TEAMWORK ENGINEERING & CONSTRUCTION,0183551852,0183551852
KCWIN SCREEN MANUFACTURING SDN BHD,0123406166,0123406166
MEWAH ALUMINIUM ENGINEERING,0196768711,0196768711
INFINIT LOCK ENTERPRISE,0192191316,0192191316
LLOYD LAMINATED DOOR & LOCKSET,0123722253,0123722253
ONE WIRING SERVICES,0169031373,0169031373
KRISTALBOND ENERGY SAVING GLASS COATING,,0123221388
SOLAR WINDOW FILM / HOUSE TINT / OFFICE,,0166986568
RAYTECH TINTING SDN BHD,,0162126882
MR NET INSECT SCREENS ENTERPRISE,,0107005577
COREEN INDUSTRIES SDN BHD,,0389209831
PREMIER TINTING SOLUTIONS,,0122101085
CHEE TAT HARDWARE & TIMBER SDN BHD,,0342805868
STUTTGART MARKETING SDH BHD,,0189665796
ZUL WELD.ENTERPRISE,,0123325446
DOORBYDESIGN.COM,,0169672098
HIGH-END ALUMINIUM WINDOW & DOOR SYSTEM,,0126123235
T & T WINDOW SDN BHD,,0127078015
RED RHINO TROPICANA AMAN SECURITY DOOR,0173304688,0173304688
MK YONG IRONWORKS,0163230725,0163230725
MOLICC SYSTEM SDN BHD,0102067267,0102067267
SPECTRUM DOOR,0126399345,0126399345
ATAK DE ENTERPRISE GLASS & ALUMINIUM,0166779113,0166779113
HOOVER ENTERPRISE,0123448180,0123448180
MAHA QASAF BINA ENTERPRISE,0199963429,0199963429
EMMY UTAMA ENTERPRISE,0129785933,0129785933
QOWY STEELGLASS ALUMINIUM SDN BHD,0196203445,0196203445
STELLAR FOCUS,0143681445,0361851362
CHEE TAT MODERN DOOR CONCEPT,0122296868,0122296868
ICONIC DREAM MARKETING,0163763331,0163763331
EFI HOME SDN BHD,,0123919290
HACHI FIX SOLUTION,01136495751,01136495751
PHI'S,,01128078105
KEEN GLASS ALUMINUM WORKS SDN BHD,0163287770,0358829031
SAPIENS MARKETING,0183813078,0183813078
W.R.K ENTERPRISE,0194198239,0194198239
RS RESOURCES ENTERPRISE,0169073950,0169073950
CARPENTER,0189872305,0189872305
ARRBIL NETWORK ENTERPRISE,0102096839,0102096839
ZARA WORLD TRADING,01128283847,01129537847
ARCHICOAT DESIGN,0196400864,0196400864
SL CONSTRUCTION & CLEANING,0183186921,0183186921
TFJ RENOVATION,0189776223,0189776223
SK CITYWIDE ENTERPRISE,01116164375,01116164375
PENANG WIRING SERVICES,0103414456,0103414456
GD ELECTRICAL SALE & SERVICE,0129258542,0129258542
MAGNA ELECTRICAL ENTERPRISE,0149888552,0149888552
MR PERFECT CONSTRUCTION,01128152957,01128152957
YI ANN ELECTRICAL ENGINEERING,,0122905241
QARMA ELECTRICAL SERVICES,,0163898064
JARINGAN UNGGUL SDN BHD,0196221157,0196221157
SAPPHIRE CLEANING SERVICES,0192281602,0192281602
SA RIMA AIRCON SERVCIE AND ELECTLTICAL,01135261821,01135261821
AZHAR BIN YUSOFF,01128207686,01128207686
ARC ENGINEERING,0162070527,0162070527
G.Q SHI ENTERPRISE,0182151037,0182151037
JAK BERSATU RESOURCES,0192222362,0192222362
EZ AUTO ASSIST,,0166324916
BACLEAN,,0177988990
MKMS RESOURCES,0197400363,0197400363
KPJ ENGINEERING,0189671625,0189671625
TECKO ELECTRICAL SERVICES,0122389817,0122389817
IMPOWER HOLDINGS (M) SDN BHD,0173985388,0173985388
METOUR ENGINEERING SDN BHD,0123958238,0123958238
MOHD ASRI RENOVATION & PLUMBING 0169489952,0169489952,0169489952
EHSAN NIAZI TRADING,0149159786,0149159786
MAXREVENUE RESOURCES,01139173907,01139173907
SYAM REPAIR & SERVICE MESIN BASUH PETI AIS CHILLER FREEZER DRYER,,0176267125
NORALI EMPIRE,0178851451,01112447049
BENTLEY,0172758488,0172758488
MEHAR TRADING,01159923340,01164093533
NURAIDA BERKAT ENTERPRISE,0132391504,0132391504
MYD TRADE & SERVICES,01159652284,01159652284
KRV ELECTRICAL ENTERPRISE,0168302848,0168302848
SUMBER TENAGA ENTERPRISE,0105270782,0105270782
FAZLY ANUAR ELECTRICAL ENGINEERING,0134332703,0134332703
ELECTRICIAN WIREMAN,0166760361,0166760361
YIP ELECTRICAL,0123549531,0123549531
AMSERVICES,0182053280,0182053280
PROFESSION WORK ELECTRICAL,01139061358,01139061358
INFINEX DESIGN SOLUTION,01139581614,01137476587
PROFESSIONAL WIRING SOLUTIONS,0175623741,0175623741
ONE PRO ENGINEERING,0193083063,0193083063
"FENG SHUI MASTER, MALAYSIA, DR CHENG, 马来西亚风水师. ⭐️⭐️⭐️⭐️⭐️ READ GOOGLE REVIEWS (37)",0122079148,0122079148
8 DESTINY PALACE @ DESTINY MATCH,,0173083911
MY FENGSHUICARE,0177919869,0177919869
MASTER QUE ZI WEI FENG SHUI,0123700748,0123700748
FENG SHUI MASTER MALAYSIA 马来西亚风水老师 - FENG CULTURE GEOMANCY CONSULTANCY,0126042882,0126042882
HOSEIKI PTE LTD,,0122278808
EXPERT HAND RENOVATION,0182043176,0182043176
VS SOLAR PREMIUM,,0125602336
GLASS KOTE (M) SDN.BHD.,,0122003456
EURO STAR WINDOW SDN BHD,,0126802188
ALUMINIUM DAN KACA,,0176400622
KS KHAIZER ENTERPRISE,,0176400622
ALL GLAZE & ALUMINIUM SDN BHD,0123727187,0122252337
METALWORK & SERVICES,0129664889,0129664889
RAEES CONSTRUCTION WORKS ENTERPRISE,01116175297,01139692300
GLASS NETWORK (M) SDN BHD,0122730333,0362532939
ACTIVE IDEAL ENGINEERING,01139453572,01139453572
KL HOUSE PAINTING & CLEANING SERVICE,,01123446911
SR WELD TECH,01115467456,01115467456
WINNER CREATION SERVICES,0173035124,0173035124
PGR RENOVATION SERVICES,0146247192,0102308730
THY RESOURCES,0126633894,0126633894
SM RETAIL SDN BHD,01161934613,01161934613
IRON METAL,,0126109355
SCAPULA WELDERZ RESTAURANT'Z STUDIO'EST,,01124126430
CIW IRON STEEL WORK,,0125509210
SYARIKAT ENSOON,,0165219720
CTS METAL WORKS,,0193102007
RIDHO IRON WORK,,0172686272
SULONG BUGAL,,0138773070
KINTA MUAR,0173650862,0173650862
ABI UMMAIRAH,0134746505,0134746505
ZIKAY NIAGA ENTERPRISE,01128181876,01128181876
RENOVATION DAN PLUMBING,0134733301,0134733301
SAB TEGUH RESOURCES,0193741776,0193741776
AD HANDYMAN SERVICES,0172886427,0172886427
ABDARY MAJU NIAGA,0136291145,0136291145
R&L WORK,0176836646,0176836646
CBL ULTIMATE STEEL STRUCTURE ENGINEERING S/B,0139333378,0139333378
MN TIG ENGINEERING,0126794701,0126794701
AMISYA HARDWORK ENTERPRISE,0134012303,0134012303
ZULL RIZKY ENTERPRISE,01127872241,01127872241
KL SERVICE,,01123446911
LARIS PESSONA SDN BHD,0126322584,0126322584
E NENG SDN BHD,0162623503,0162623503
RECOMMEND HOME INSPECTION,0125683038,0125683038
SPOT THE DEFECTS,0126202709,0126202709
S&M SHINE SOLUTIONS,0194087553,0194087553
DAUN HASIL SDN BHD,0176022150,01117744899
HI TECSKY ENTERPRISE SDN BHD,01163872378,01163872378
MTAA WATERPROOFING & PLUMBING SPECIALIST,01114326623,01121864892
MASTER PAINTS,01127142804,01127142804
A M BROTHERS CONSTRUCTIONS SDN BHD,0172658823,0172658823
PRESTIGE MAINTENANCE SERVICES,0162659802,0162659802
NY POWER SOLUTIONS & RENOVATION SDN BHD,0183997933,0124537933
MP KAVISHA MAJU ENTERPRISE,0147679007,0147679007
S&M RENOVATION CLEANING SERVICE,01115940196,01115940196
XUNOBI STUDIO,,0122349078
IPAINT4U,0103216123,0103216123
MUHD ASYRAF HOME CLEANING,,0183144431
WALLERS,0125190511,0125190511
M NASIR PRO PAINTING,0177335904,0177335904
PERFECT BUILDERS SERVICES,0183840125,0183840125
CLEANVISS CLEANING SERVICES,0129487151,0129487151
MABLE ELECTRICAL SDN BHD,,01115295899
BUBBLE CLEANS,0174743891,0174743891
AS MOVERS & ELECTRICAL ENTERPRISE,0182383593,0182383593
VMV HOME SERVICES,01164225419,01164225419
SHAZ EAGLE ENTERPRISE,0168657289,0168657289
CRYSTAL ART PAINTING,0163519133,0163519133
ZOY CONSTRUCTION SERVICES,0126222132,0126222132
YESCLEAN,,0122545343
USMAN HOME SERVISES,0182298216,0182298216
CLEANING SYNDICATE SERVICES,0169249250,0169249250
IHK ENTERPRISE,,0149048521
BILLION SPACE,0167837765,0167837765
SPICK & SPAN ENTERPRISE,0146690690,0146690690
EASY COLOUR PAINT,,0137737176
LTS PAINTS SDN. BHD.,,0122093878
PAINT YOUR FANTASY,,0162615328
BRICKS AND LAYERS,,0102026899
GREAT CONSTRUCTIONS,,0133941435
MR. PAINT MAN SDN BHD,,0379608199
HANDYMAN SERVICES MALAYSIA,,0122719041
HANDY GURU,,0126563831
MA NIZAM ENTERPRISE ( CLEANER_ARMY )),,0123467991
MYTUKANGCAT,,0188746654
PAINTING SERVICE,,0133941435
MR. PAINTER MALAYSIA SDN BHD,0123748113,0123748113
IPAINTER BY LIREX ENTERPRISE,,0177771738
SMART DRY CLEAN SERVICES,,0182887275
MYPAINTER PAINTING SDN BHD,,0127030723
AMAN'S MOVERS AND PACKERS,,0122347652
DHMIA ENTERPRISE,0134862343,0134862343
RODZIM & CO.,,0168814172
IKKIDAGREAT@DESIGNER,,0145530199
BEST SERVIS,,0125520090
JC QUANTUM SERVICES,,0106664654
GLOBAL TAC IMAGE ENTERPRISE,,01116286753
SAGALAE'S ARTWOKS,,01112500287
HAMZAH SERVICE ADVISER,,0142511490
LUPA AUTO SERVICE,,01112458897
CLEAN N GREEN,0195192673,0195192673
MAHNUR TRADING,,0113336619
MAHNUR TRADING,,0166090679
AKRAM SPEACIALIST SERVICE,,01139186544
JYERNA L TAO,,0176136055
THE PAINT STATION,,0122157503
PAINTING HOUSE / CAT RUMAH,,0172971174
MUZTAJI,,0194052174
SMY MOVER ENTERPRISE,,0173166897
WALL WORKS,0125162038,0125162038
AFINAZROL ENTERPRISE,,0142285939
AWEEN PRO NETWORK,0189074177,0189074177
WILCO TRADING SOLUTION,0127701336,0127701336
BOLT,,0199880798
CHOSUM CLEANING SERVICES,01111522336,0102979250
ECO PAINTING,0125287780,0125287780
RIYZSOUTHERN,01127381785,01127381785
HG SERVICES (M) SDN BHD,0127866653,0127866653
GOHIRE GROUP,0179450264,0179450264
MURAL EXPERT,,0178642685
STUDIO-ASEAN EASTFIELD D&D SDN BHD,0126186893,0126186893
HD EXCELLENT SOLUTION,0163192739,0102162739
EXTENTA PAINTING,0193940080,0193940080
MAWAR CLEANING SERVICES,0172326771,0172326771
FREELANCE,0179636379,01151628702
FOUR SEASON PAINTERS,0126136141,0126136141
ZACK PLUMBER & SERVICE PENANG,0189406869,0189406869
SOLUTION YOUR HOME,01124067448,01160884110
CARZONESELANGOR,0173683205,0173683205
DIA HELP AND CLEANING SERVICES,0183293297,0183293297
MY SMART PAINT,01132000299,01132000200
PAINTER BROTHERS EMPIRE,01137938676,0196654978
R3SA STAR ENTERPRISE,0196506236,0196506236
HANI ENTERPRISES,01163939365,01163939365
VR POWER SERVICES,0126505714,0126505714
TRKZ PEARL PAINTERS & CLEANERS,01164477166,01164477166
ARVIN,0162418049,0162418049
WRENCH & RATCHET VENTURE,01156347833,01156347833
MAINTENANCE,01128414729,01128414729
PS CONTRUSTION & CONCEPT,0122189693,0122189693
WK DESIGN & CONSTRUCTION,0108941489,0108941489
SOLID GREENTECH SOLUTIONS SDN.BHD.,0142277274,0142277274
CAHAYA NTB ENTERPRISE,0195841447,0195841447
SPARKLE PURITY CLEANING SERVICES,01155526117,01155526117
ASYRAFFAH SERVICES,0133258026,0133258026
KHODADAD,0176788154,0176788154
ENUMA ELIS,0128863803,0128863803
SAI HARSHAAN ENTERPRISE,0169782320,0106532320
I-PAINTER,0124272738,0124272738
HARMONY TECHNOLOGY ENTERPRISE,0122780713,0122780713
ALSAGOFF DAGANGAN,0108088977,0108088977
THE PAINTOLOGIST,0122396435,0122306435
,0169531680,0169531680
Q OFFICE SYSTEM,,0182160658
SM GOLAM BAKHTIUR,01133168425,01133168425
TERA TARA ENTERPRISE,01151441231,01151441231
MUZAFAR,0185728450,0185728450
TUITION TAMIL,0175191859,0175191859
DND MULTI TUKANG ENTERPRISE,0129510253,0129510253
LOTUS ELECTRICAL SERVICE,0182753913,0149551948
GRACE YKM CONSTRUCTION SERVICES,0123214461,0173906190
AK SURIA SERVICE,0107678242,0107678242
JA ELECTRICAL & RENOVATION,01133281160,01133281160
TUKANG CAT TELUK INTAN,0169255234,0169255234
KITCHEN CABINETS AND GLASS WORK,01162463324,01162463324
WORLD VISION ASSOCIATE,0182882087,0182882087
MYTUKANGCAT,0126536007,0126536007
STRAQTA SDN BHD,0193738528,0193738528
AA HW SERVICE PROVIDER,0127719844,0127719844
NAR GLOBAL RESOURCES,0123091037,0123091037
MALIK HAROON,0183543052,0183543052
MALIK HAROON,0183543052,0183543052
MND CONNECTION ENTREPRISE,0183768715,0183768715
ZAMAN AND BROTHERS TRADING,0149279848,0149279848
SYARIKAT WATI,0182764875,0182764875
HNI SOURCING RENOVATION,0167099450,0167099450
60 ART STUDIO,0122669109,0122669109
TECHNICIAN,0183729608,0183729608
AEIOU,0183869208,0183869208
BLESS COATING & PAINTS SDN BHD,0126229265,0126229265
TOP E FASHION,0182628137,0187866026
TAJUL PAINTING CLUB,0166448623,0166448623
M & M WATERPROOFING ENTERPRISE,0162150683,0162150683
PAINTING AVENUE,0149493123,0149493123
EPARI ADS ENTERPRISE,0125155582,0125155582
WMA MAJU RESOURCES,0132336189,0132336189
ANG’S REPAIR &RENOVATE,0189484504,0189484504
JV ELECTRICAL SOLUTIONS,0175813766,0175813766
FREEMAN REPAIR & RESTORATION WORKS,0122389228,0122389228
BRUSH & ROLL PAINTING SERVICES,0177238695,0177238695
DEV ANAND,0164400433,0164400433
NM SUPPLY & SERVICES,,0178762829
MPKALAIVANI ENTERPRISE,,0183750442
CALIPH ENTERPRISE,01124372584,01124372584
HADI RENO ENTERPRICE,0183905876,0183905876
ZS TUKANG CAT,0197792697,01111779629
GROEN GARDENS & LANDSCAPES SDN BHD,,0193343663
SEAZONE INNOVATIVE SDN BHD,0162225646,0162225646
SELUT MERAH ENTERPRISE,0192770991,0192770991
ANJUR IKHLAS SDN BHD,0166680499,0166680499
NYKOLETT,0123700750,0123700750
HOME STYLIST.STYLING,0123111391,0123111391
JZONE INTERIOR DESIGN,0164200024,0164200024
RIZQI RECKA CABINET,0122925056,0122925056
BANDAR TASIK PUTERI TUKANG PAIP BUMBUNG BOCOR DAN WIRING,0193602794,0193602794
PERMATA REMAJA ENTERPRISE,0196973179,0196973179
ESSENTIALS GLOBAL,0128381429,0128381429
RYZ HOUSE REPAIRING ENTERPRISE,01112240301,01112240301
ZET AIR-COND & ELECCTRICAL,0128698319,0128698319
KHASYA RESOURCES,0173622722,0173622722
ARIF ELAKTRIK PLUMBING,0143616722,0143616722
CYBER POWER ENGINEERING,01140655553,01140655553
MPRESTIQ ENTERPRISE,0103638829,0103638829
RV WOODS,,0179855663
COLUMBUS WOODLIFE SDN BHD,0192329076,0192329076
SABREEN SERVICES,01164223275,01164223275
PSI CLEANING SERVICES,0149204851,0173171542
JTR PROPERTY MANAGEMENT SDN BHD,0102116057,0102116057
ECO OUTDOOR ASIA,,0122186994
NILAI LANDSCAPE,,
ALAM SINAR FACILITIES,,0378325235
INSPIRASI AMBAL HIJAU ENT.,,0192930345
SAMA ABADI CLEANING SERVICES,,0164444417
KOHORTICA NURSERY,,0192696167
EZ MAID CLEANING & SERVICES,,0176205400
SKS SERVICES & PEST MANAGEMENT,,0351030483
JEP ASSET MANAGEMENT SDN BHD,,0162381039
SIGMA NUSANTARA,,0132159117
RIZNI LANDSCAPE ARTS,,0136713450
RASHIDI KHAN GRASS CUTTER,,0196210031
ECO TURF HAUS,,0166988636
GOGRASS ARTIFICIAL GRASS,,0122857700
LANDSCAPE CONSTRUCTION BY OXYGREEN,,0137704010
IDEA GROUP LANDSCAPE SDN BHD,,0126513866
IDEA GROUP LANDSCAPE SDN BHD,,0173396799
EMERALD VISTA LANDSCAPE,,0123985656
,,0126513866
VISI ALAM,,0143362846
SR EMPIRE,0196230132,0196230132
SRN MANAGEMENT SERVICES SDN. BHD,,0174588146
ALUNAN TUAH,,0173675055
PICTURESQUE,,0178246486
PICTURESQUE,,01129084875
CONSULTANT SERVICE,,0193022011
GARDEN WORKS,,0123271515
CLEAN GREEN RESOURCES,,01121888274
EMPIRECUCI @ PUNCAK TERAJU ENTERPRISE,0134284560,0134284560
ZS SUFI RESOURCES,,0172955139
SK UNION (M) SDN BHD,0122126029,0122126029
MUHIBZUHDI ENT,0162588070,0162588070
A N EVERGREEN SDN. BHD.,0162659802,0378653710
KYLE & CO,01128155859,01128155859
PYH VENTURE,0124102229,0124102229
ETIKA BUMI DESIGN,0126238023,0173347346
SERVIS PEMOTONGAN RUMPUT,01121015647,01121015647
MIGHTY GAVASKAR CLEANING SERVICES (MIGHTY GAVASKAR ENTERPRISE),0104644807,0104644807
FIHA RESOURCES,0183601282,0183601282
GK CLEANING SERVICES,0162802142,0162802142
TENAGA CEKAP MANAGEMENT SDN. BHD.,0126663770,0126663770
AN EVERGREEN SDN BHD,01116593385,01116593385
AC POOLS & SERVICES SDN BHD,0162222579,0162222579
LANDSCAPE SUPPLY AND INSTALL,0182255020,0182255020
"PERKHIDMATAN POTONG RUMPUT, KEMAS & RACUN",01158987449,01158987449
POTONG POKOK/TREES CUTTING,0182929041,0182929041
MAJU BINARAYA SDN BHD,0172286761,0175176761
KD SERVICES,0176454829,0176454829
EVERFLORAGARDENSTRADING,0102509161,0102509161
VISTASCAPE TRADING,0176984887,0176984887
MARBLE & PARQUET FLOOR POLISHING WORK,0172971975,0172971975
LOTUS GREEN RESOURCES,0162477822,0162477822
AH NURSERY & LANDSCAPE,0162472783,0162472783
MCM GREENMAN GROUP HIQ BRIDGE IN A BOX,0169839715,0169839715
LIYU CLEANING SERVICES,0143269075,0143269075
BLOOM WORKS ENTERPRISE,0126446203,0126446203
OTOKURIN CLEANING SERVICES,,0103606989
SJA AIRCOND AND ELECTRICITY SERVICES,01137094690,01137094690
SNA GLOBAL SERVICE,0176480764,0176480764
HEILAL ENTERPRISE,0176654694,0176654694
AJT ENTARPRISE,01137051459,01137051459
SARAVANAN SANGAN,0182591073,0182591073
AR ELECTRICAL RESOURCES,0165451284,0165451284
NEXT LEVEL SOLUTIONS,0129241785,0129241785
LONG LAST RENO ENTERPRISE,0138190052,0138190052
NAIMAH ZESHAN ENTERPRISE,01169672238,01169672238
YBF EXCELLENT ENTERPRISE,0179119704,0179119704
OSDIN LIGHTING,,0362582323
SVS ELECTRICAL ENTERPRISE,,0380601143
CHARDI KALLA EVENT MANAGEMENT COMPANY,,0126597202
CREE DECORLIGHTING,,0127927511
CREEDECOR LIGHTING,,0127927511
HEADHUNTER PRODUCTION,,0123739979
HENRY ELEBRA SLD SPATIAL LIGHTING DESIGN SERVICES,,0172650590
SOUNDKONTROLS EVENT MANAGEMENT,,0162169474
THEOCCASIONS EVENTEUR,,0178896430
CREEDECOR LIGHTING,,0127927511
TONG GING LIGHTING ATELIERS,,0392211282
JD EVENTIONS SERVICES,,0126804918
ECOSERVICES,,0125490030
CULTURESHOCK EVENTS,,0162944118
PETROTEK SDN. BHD.,,0377842190
JIM CHONG,0162602328,0162602328
T.C. ELECTRICAL ENTERPRISE,0138318681,0138318681
CENTURY INTERIOR STUDIO,0163230302,0163230302
NASHCONE KL,0146657092,0146657092
JT TECHTRONICS SDN BHD,0163199391,0163199391
AIRCOND SERVICE/WIRING,0194930405,0194930405
BHATTI SERVICES,0166163925,0123224307
THE GRAND LACI,0132072301,0132072301
CHIRANJEEVI ENTERPRISE,,0124672876
DTE ELECTRICAL SERVICE,0108322691,0108322691
T CITY ELECTRICAL,0163233811,0163233811
AMIGO AIRCOND AND ELECTRICAL,0165217866,0165217866
C & C FAMILY SCREEN PROTECT,,0189824968
ATHOS ASIA PACIFIC INDUSTRY,0132503512,0132503512
STICK-ON,,0123207560
BREEZE COOL NETTING,0124516966,0124516966
SOLIDMESH HOME SOLUTION,0123718087,0125725933
JFODZ ENTERPRISE,0195277371,0195277371
MAL SDN BHD,0169828159,0169828159
THE FINE LOCK SHOP,01120003731,01120003731
MASTER DOORS & LOCKS TRADING,,0123459835
POWERCOOL TINTED FILM & SUPPLY SDN BHD,0127020866,0127020866
ZICOM TECHNOLOGIES,0137440312,0137440312
MAVEN CS ENGINEERING,,
KINEMATIC BUSINESS CENTER,,0175995773
UNLIMITED TOP SOLUTIONS,,0106057272
ALSAI ENGINEERING SDN.BHD.,,0166663254
THE DECOREIN (M) SDN BHD.(1227329-T),0197947226,0379727603
TEKTRON ENGINEERING,0127080367,0127080367
TANJUNG ELECTRICAL & ENGINEERING SERVICES,0132588921,0132588921
SRI SHASHTI ELECTRICAL & SERVICES,0182270554,0182270554
JERNIH POOL SERVICES,,0380518593
KONG PENG PLUMBING & ENGINEERING,,0196658341
MR POOL SERVICES,,0129346197
AQUANIC ECOVENTURE,0198293208,0198293208
PERFECT POOL SERVICES SDN BHD,0122997770,0122997770
MIM POOL SERVICES,01130927046,01130927046
NIA POOL SERVICE,0126785311,0126785311
SWIMMING POOL,01116363902,01116363902
LNM CLEANERS,0166985923,0166985923
DP CERAMIC MARKETING SDN BHD,0177535798,0177535798
LNT CONSTRUCTION & ENGINEERING SDN BHD,0149331482,0149331482
MIMEX SERVICES,,0173749911
AKROM,,0183744129
HAFIDZ AIRCOND,,01131057662
JESELTON RESOURCES,0172435047,0172435047
DUREZ RANCHES TRADING,0125767191,0125767191
FLOORS N MORE CONTRACTING,0162633473,0162633473
AZRIN 6236 ENTERPRISE,0187818301,0187818301
CONSTRUCTION LINE,0167304786,0167304786
VIVO BUILT,0172868181,0172868181
202203213309 (003426544-T),0172868181,0172868181
TSS RENOVATION CONTRACTOR,0149738526,0149738526
KR CONSTRUCT,0149050723,0149050723
MN HOME RENOVATOIN ENTERPRICE,01139221403,0182382044
NII HOLDINGS SDN BHD,,0187666508
TINT GARAGE,,0163338918
ARMORSHIELD PLT (MALAYSIA),0126571838,0126571838
HAVERKAMP WINDOWS FILMS MALAYSIA,0123056688,0123056688
WS AUTO TINT & SPA ACCESSORIES,0123056311,0123056311
LANGSIR,0192581563,0192581563
FLORSCAPE SDN BHD,0195101619,0195101619
BLOOMING FLORIST SDN BHD,,0378033333
MN REDMOUNT ENTERPRISE,01110200456,01110200456
TESCONIA FLOOR ENGINEERING,0163339573,0163339573
ANAGO SERVICES,0182877274,0182877274
MOONSHAN AIR-COND SERVICE & HOME CLEANING,0183271842,0183271842
CV AC SERVICES AND INSTALLATION,01162148196,01162148196
SHAH SERVICES ENTERPRISE,01137753629,01137753629
LIM COOL & COOL,01160852250,01160852250
XCOOL AIRCOND SERVICE & ELECTRICAL,0126502841,0126502841
DS COOLING SERVICES,0143731473,0143731473
OH KLEEN BEST UPHOLSTERY CLEANING,0109600662,0109600662
MAJU TERUS RESOURCES,0102918503,0102918503
AZMK HVAC ENTERPRISE,,0132256010
HK PART SUPPLIER ELECTRICAL SERVICE,0123997782,0123997782
WASHING MACHINE FRIDGE CHILLER FREEZER OVEN DRYER REPAIR,0166046897,0166046897
METRO CLEANS REVOLUTION,,0123132357
ASL AIRCOND SERVICE AND SUPPLIES,,0182040174
Q PROTECH RESOURCES,01128124977,0199300289
AMIGO AIRCOND & ELECTRICAL,0126611838,0165217866
AIRCOND AQIL HEBAT (I-CITY),0195188168,0195188168
JORAIZ ELECTRIC,0166779824,0166779824
SRI MOOVENDRAR RESOURCES,0182925279,0182925279
GTM MOVERS,01169647668,01169647668
SERI CLEANING SERVICES,01164274401,01164274401
KCS REPAIR & SERVICES,,0122959621
BE COLD SOLUTIONS,,01133107180
GREEN COORDINATE SERVICES,0164220820,0102000820
ZASS GEMILANG ENTERPRISE,0133986505,0133986505
MUS & MUZ ENTERPRISE,01169727052,01169727052
SRS AIRCOND AND ELECTRICAL ENTERPRISE,0167088045,0167088045
MR CLEANING SERVICES,0166659948,0166659948
V AIRCON,0176315371,0176315371
ABEN AIR COND,,0177886949
NAID CAR MAINTENANCE,,01117933225
PADHLI COOLING,,0174962439
LG AIRCOND,,0134614158
AIMAN COOLING,,0135227611
MIRAFS AIRCOND SERVICE,,0125274912
ATIQAH AIRCOND SERVISE,,01116850546
AZ ELEKTRIK N AIRCOND SERVICE,0182733427,0182733427
SERVICE AIRCOND,,0174018313
MRPOMEN BERHAD,,0174250020
XYLOZ AUTO,,0194777096
ZUL AIRCONDITIONING SERVICE SDN BHD,,0124268306
NAD AIRCONDITIONING ENTERPRISE,,0125025071
AIRCONDITIONER SERVICES,,01116358166
OMA YAZID BIN ABU KASIM,01121661884,01121661884
POWERZX,0177606842,0177606842
SKYLINE AIRCOND & ELECTRICAL SDN. BHD,0168301415,0168301415
FAIZUAN ELECTRICAL REPAIRING AND SERVICES,0129554344,0129554344
FAMIBOT,0184686118,0184686118
AIRCON MAJU SELALU,,
